"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ylin lämpötila [°C]"
"Enontekiö Kilpisjärvi Saana","2023","8","9","03:00","19.4"
"Enontekiö Kilpisjärvi Saana","2023","8","10","03:00","16.2"
"Enontekiö Kilpisjärvi Saana","2023","8","11","03:00","12.4"
"Enontekiö Kilpisjärvi Saana","2023","8","12","03:00","11.4"
"Enontekiö Kilpisjärvi Saana","2023","8","13","03:00","14.3"
"Enontekiö Kilpisjärvi Saana","2023","8","14","03:00","12.3"
"Enontekiö Kilpisjärvi Saana","2023","8","15","03:00","14.2"
"Enontekiö Kilpisjärvi Saana","2023","8","16","03:00","10.6"
"Enontekiö Kilpisjärvi Saana","2023","8","17","03:00","6.9"
"Enontekiö Kilpisjärvi Saana","2023","8","18","03:00","8.3"
"Enontekiö Kilpisjärvi Saana","2023","8","19","03:00","10.4"
"Enontekiö Kilpisjärvi Saana","2023","8","20","03:00","12.7"
"Enontekiö Kilpisjärvi Saana","2023","8","21","03:00","12.5"
"Enontekiö Kilpisjärvi Saana","2023","8","22","03:00","13.9"
"Enontekiö Kilpisjärvi Saana","2023","8","23","03:00","9.8"
"Enontekiö Kilpisjärvi Saana","2023","8","24","03:00","10.6"
"Enontekiö Kilpisjärvi Saana","2023","8","25","03:00","12.9"
"Enontekiö Kilpisjärvi Saana","2023","8","26","03:00","14.4"
"Enontekiö Kilpisjärvi Saana","2023","8","27","03:00","15"
"Enontekiö Kilpisjärvi Saana","2023","8","28","03:00","12.4"
"Enontekiö Kilpisjärvi Saana","2023","8","29","03:00","9.5"
"Enontekiö Kilpisjärvi Saana","2023","8","30","03:00","10.3"
"Enontekiö Kilpisjärvi Saana","2023","8","31","03:00","12.2"
"Enontekiö Kilpisjärvi Saana","2023","9","1","03:00","9.1"
"Enontekiö Kilpisjärvi Saana","2023","9","2","03:00","9.3"
"Enontekiö Kilpisjärvi Saana","2023","9","3","03:00","9.6"
"Enontekiö Kilpisjärvi Saana","2023","9","4","03:00","8.4"
"Enontekiö Kilpisjärvi Saana","2023","9","5","03:00","4.8"
"Enontekiö Kilpisjärvi Saana","2023","9","6","03:00","4.7"
"Enontekiö Kilpisjärvi Saana","2023","9","7","03:00","8.3"
"Enontekiö Kilpisjärvi Saana","2023","9","8","03:00","15.1"
"Enontekiö Kilpisjärvi Saana","2023","9","9","03:00","14.6"
"Enontekiö Kilpisjärvi Saana","2023","9","10","03:00","12.7"
"Enontekiö Kilpisjärvi Saana","2023","9","11","03:00","8"
"Enontekiö Kilpisjärvi Saana","2023","9","12","03:00","7.5"
"Enontekiö Kilpisjärvi Saana","2023","9","13","03:00","3.5"
"Enontekiö Kilpisjärvi Saana","2023","9","14","03:00","3.7"
"Enontekiö Kilpisjärvi Saana","2023","9","15","03:00","4.4"
"Enontekiö Kilpisjärvi Saana","2023","9","16","03:00","1.8"
"Enontekiö Kilpisjärvi Saana","2023","9","17","03:00","2.7"
"Enontekiö Kilpisjärvi Saana","2023","9","18","03:00","3.4"
"Enontekiö Kilpisjärvi Saana","2023","9","19","03:00","3.1"
"Enontekiö Kilpisjärvi Saana","2023","9","20","03:00","-1.7"
"Enontekiö Kilpisjärvi Saana","2023","9","21","03:00","-2.8"
"Enontekiö Kilpisjärvi Saana","2023","9","22","03:00","5.2"
"Enontekiö Kilpisjärvi Saana","2023","9","23","03:00","7"
"Enontekiö Kilpisjärvi Saana","2023","9","24","03:00","3.7"
"Enontekiö Kilpisjärvi Saana","2023","9","25","03:00","4.1"
"Enontekiö Kilpisjärvi Saana","2023","9","26","03:00","6.5"
"Enontekiö Kilpisjärvi Saana","2023","9","27","03:00","8.2"
"Enontekiö Kilpisjärvi Saana","2023","9","28","03:00","6.5"
"Enontekiö Kilpisjärvi Saana","2023","9","29","03:00","7"
"Enontekiö Kilpisjärvi Saana","2023","9","30","03:00","6.9"
"Enontekiö Kilpisjärvi Saana","2023","10","1","03:00","5.1"
"Enontekiö Kilpisjärvi Saana","2023","10","2","03:00","-1.7"
"Enontekiö Kilpisjärvi Saana","2023","10","3","03:00","-1.2"
"Enontekiö Kilpisjärvi Saana","2023","10","4","03:00","-2.6"
"Enontekiö Kilpisjärvi Saana","2023","10","5","03:00","-3.9"
"Enontekiö Kilpisjärvi Saana","2023","10","6","03:00","-1.8"
"Enontekiö Kilpisjärvi Saana","2023","10","7","03:00","-5.1"
"Enontekiö Kilpisjärvi Saana","2023","10","8","03:00","-2.9"
"Enontekiö Kilpisjärvi Saana","2023","10","9","03:00","-3.4"
"Enontekiö Kilpisjärvi Saana","2023","10","10","03:00","-5.2"
"Enontekiö Kilpisjärvi Saana","2023","10","11","03:00","-6.4"
"Enontekiö Kilpisjärvi Saana","2023","10","12","03:00","-6.3"
"Enontekiö Kilpisjärvi Saana","2023","10","13","03:00","-3.8"
"Enontekiö Kilpisjärvi Saana","2023","10","14","03:00","-6"
"Enontekiö Kilpisjärvi Saana","2023","10","15","03:00","-3.2"
"Enontekiö Kilpisjärvi Saana","2023","10","16","03:00","-2"
"Enontekiö Kilpisjärvi Saana","2023","10","17","03:00","-4"
"Enontekiö Kilpisjärvi Saana","2023","10","18","03:00","-7"
"Enontekiö Kilpisjärvi Saana","2023","10","19","03:00","-6.8"
"Enontekiö Kilpisjärvi Saana","2023","10","20","03:00","-3.9"
"Enontekiö Kilpisjärvi Saana","2023","10","21","03:00","-3.1"
"Enontekiö Kilpisjärvi Saana","2023","10","22","03:00","-4"
"Enontekiö Kilpisjärvi Saana","2023","10","23","03:00","-4.3"
"Enontekiö Kilpisjärvi Saana","2023","10","24","03:00","-10.3"
"Enontekiö Kilpisjärvi Saana","2023","10","25","03:00","-7.2"
"Enontekiö Kilpisjärvi Saana","2023","10","26","03:00","-2.8"
"Enontekiö Kilpisjärvi Saana","2023","10","27","03:00","-3.1"
"Enontekiö Kilpisjärvi Saana","2023","10","28","03:00","-7.8"
"Enontekiö Kilpisjärvi Saana","2023","10","29","03:00","-8.4"
"Enontekiö Kilpisjärvi Saana","2023","10","30","02:00","-8.5"
"Enontekiö Kilpisjärvi Saana","2023","10","31","02:00","-6.6"
"Enontekiö Kilpisjärvi Saana","2023","11","1","02:00","-6.8"
"Enontekiö Kilpisjärvi Saana","2023","11","2","02:00","-6.3"
"Enontekiö Kilpisjärvi Saana","2023","11","3","02:00","-9.9"
"Enontekiö Kilpisjärvi Saana","2023","11","4","02:00","-9.9"
"Enontekiö Kilpisjärvi Saana","2023","11","5","02:00","-7.5"
